1544	C 82	Dragons of Ara	ARA	I						Cl. + Neb.	II3p	16.6885	-48.761	5.2	10.82	1.69	15'	0		0	NGC 6193, Cr 310, NGC 6188
1436	NGC 6326		ARA	M						Plan. Neb.		17.3457	-51.752	12.2	8.44	2.64	12"	0		0	
1411	NGC 6215		ARA	I						Sp. Gal.	Sc	16.8514	-58.991	11.28	12.46	1.04	2.4' x 1.6'	0		1	
1413	NGC 6253		ARA	M						Op. Cl.	II1m	16.9842	-52.698	10.2	13.83	0.49	6'	0		0	Cr 321, Mel 156
1438	C 81		ARA	S						Glob. Cl.	XI	16.4243	-48.420	8.87	12.86	0.88	7.1'	0		0	NGC 6352, Cr 328, Mel 170
1435	NGC 6362		ARA	S						Glob. Cl.	X	17.5311	-67.046	8.86	13.6	0.58	10'	0		0	Mel 172
1414	NGC 6204		ARA	S						Op. Cl.	I2p	16.7686	-47.018	8.2	11.43	1.45	5'	0		0	Cr 312
1407	NGC 6200		ARA	S						Op. Cl.	III2m	16.7343	-47.468	7.4	12.53	1.01	12'	0		0	Cr 311
1412	NGC 6208		ARA	S						Op. Cl.	II1m	16.8240	-53.725	7.2	12.82	0.89	15'	0		0	Cr 313
1437	IC 4651		ARA	S						Op. Cl.	II3m	16.4131	-49.931	6.9	12.37	1.07	14'	0		0	Cr 327, Mel 169
1408	NGC 6164		ARA	S						Em. Neb.		16.5642	-48.109	6.71	10.21	1.94	8' x 4'	0		0	
1415	NGC 6250		ARA	B						Op. Cl.	IV3p	16.9657	-45.941	5.9	9.86	2.08	7'	0		0	Cr 320
819	NGC 1156		ARA	M						Irr. Gal.	Sm	02.9956	+25.243	11.74	12.29	1.1	3.3' x 2.5'	2	2	0	
22	NGC 772	Fiddlehead Galaxy	ARI	M						Sp. Gal.	SBb	01.9888	+19.008	11.1	13.19	0.69	7.2' x 4.3'	2	3	1	H400 32
1923	NGC 935		ARI	I						Sp. Gal.	Sc	02.4701	+19.601	12.82	13.31	0.0	1.9' x 1.1'	1	2	1	
1917	NGC 877		ARI	I						Sp. Gal.	Sc	02.3003	+14.546	12.5	13.68	-0.15	2.4' x 1.5'	1	1	3	
1896	NGC 697		ARI	I						Sp. Gal.	SAB(r)(c)	01.8553	+22.360	12.4	13.22	0.03	2.9' x 0.9'	1	2	1	
1899	NGC 691		ARI	I						Sp. Gal.	Sb/Sc	01.8453	+21.762	12.92	14.75	-0.58	2.9' x 2.4'	2	3	5	
