ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
D00476	NGC 4371	barred-spiral	SB(r)0+	S0-a	L	G	-1.3 ± 0.6	-1.3	S0-a	B	R	
D01300	NGC 4373	galaxy--elliptical	E/S0	E-S0	L	G	-3.3 ± 0.9	-3.3	E-S0	B		
D02250	NGC 4377	galaxy--elliptical	E1	E-S0	L	G	-2.6 ± 0.6	-2.6	E-S0			
F00223	NGC 4379	galaxy--spiral		E-S0	L	G	-2.7 ± 0.6	-2.7	E-S0	B	R	
D02252	NGC 4380	galaxy--spiral	SABa	SABa	I	G	2.4 ± 0.9	2.4	SABa	B	R	
D02253	NGC 4383	galaxy--spiral	Sa	SAa	S	G	0.8 ± 0.8	0.8	Sa			
F00226	NGC 4386	galaxy--spiral	SAB0	S0	L	G	-2.0 ± 0.4	-2	S0	B		
F00228	NGC 4387	galaxy--elliptical	E5	E3	E	G	-4.8 ± 0.6	-4.8	E			
F00232	NGC 4388	barred-spiral	SBb	SBb	B	G	2.8 ± 0.7	2.8	SBb	B	R	
D02256	NGC 4389	barred-spiral	SBbc	SBbc	B	G	4.0 ± 0.6	4	SBbc	B		
D01882	NGC 439	galaxy--elliptical	E/S0	E-S0	L	G	-3.2 ± 0.9	-3.2	E-S0	B	R	
F00227	NGC 4392	galaxy--spiral		S0	L	G	-2.0 ± 1.7	-2	S0			
F00656	NGC 4394	barred-spiral	(R)SB(r)b	(R)SB(r)b	B	G	3.0 ± 0.4	3	SBb	B	R	
D00683	NGC 4395	galaxy--spiral	SA(s)m	SA(s)m	S	G	8.8 ± 0.5	8.8	Sm	B	R	
D02251	NGC 4396	galaxy--spiral	SAcd	SAcd	S	G	6.8 ± 0.8	6.8	Scd			
F01529	NGC 440	galaxy--spiral	Sbc	SAbc	S	G	4.0 ± 0.5	4	Sbc			
F00230	NGC 4402	galaxy--spiral	SAb	SAb	S	G	3.2 ± 0.8	3.2	Sb			
D02254	NGC 4405	galaxy--spiral	Sa	S0-a	L	G	0.3 ± 1.1	0.3	S0-a	B	R	
F01497	NGC 441	barred-spiral	SB0a	S0-a	L	G	-0.1 ± 0.7	-0.1	S0-a	B		
