ID	Name	Type	Orig	New Morph	New Obj Type	LType	LCode	LValue	LMorph	Bar	Ring	
D02862	1E 0657-558 CAR	galaxy--unclassified			C	GALAXY CLUSTER						
D02840	Arp 148 UMA	galaxy--unclassified		Irr	X	G	10.0 ± 2.0	10	I		R	
D02861	Arp 188 DRA	barred-spiral	SB	SAc	S	G	4.9 ± 0.5	4.9	Sc	B		
D02847	Arp 248 VIR	barred-spiral	SBb	SBb	B	G	3.1 ± 0.5	3.1	SBb	B		
D01463	C 101	galaxy--spiral	SAB(r)bc	SA(r)bc	S	G	4.0 ± 0.2	4	Sbc	B	R	
D00269	C 12	galaxy--spiral	SAB(rs)cd	SAB(rs)c	I	G	5.9 ± 0.3	5.9	SABc	B		
D00289	C 17	dwarf-galaxy	dSph/dE5	dSph/dE5	E	G	-4.8 ± 0.6	-4.8	E			
D00290	C 18	dwarf-galaxy	dSph/dE3, Sy2	E3	E	G	-4.8 ± 0.6	-4.8	E			
D00133	C 21	irregular-galaxy	IBm	IBm	X	G	9.8 ± 0.5	9.8	IB	B		
D00009	C 23	galaxy--spiral	SA(s)b?	SA(s)b	S	G	3.1 ± 0.4	3.1	Sb			
D00291	C 24	seyfert-galaxy	cD pec, NLRG	S0 pec	L	G	-2.2 ± 1.6	-2.2	S0			
D00135	C 26	galaxy--spiral	Sc	SAc	S	G	6.0 ± 0.6	6	Sc			
D00292	C 29	galaxy--spiral	SAB(rs)bc	SAB(rs)b	I	G	4.0 ± 0.2	4	SABb	B		
D00166	C 3	barred-spiral	SB(s)dm	SB(s)d	B	G	8.0 ± 0.3	8	SBd	B		
D00018	C 30	galaxy--spiral	SA(s)b	SA(s)bc	S	G	3.9 ± 0.3	3.9	Sbc			
D00148	C 32	barred-spiral	SB(s)d	SB(s)cd	B	G	6.5 ± 0.7	6.5	SBcd	B		
D00294	C 35	galaxy--elliptical	E4	E4	E	G	-4.3 ± 0.5	-4.3	E			
D00145	C 36	galaxy--spiral	Sa:	SAc	S	G	6.0 ± 0.4	6	Sc	B		
D00144	C 38	galaxy--spiral	Sc	SAb	S	G	3.2 ± 0.7	3.2	Sb			
D00296	C 40	galaxy--lenticular	(R)SA(rs)0+	S0-a	L	G	-0.8 ± 1.1	-0.8	S0-a		R	
D00298	C 43	galaxy--spiral	SA(S)ab	SAab	S	G	2.0 ± 0.3	2	Sab			
D00299	C 44	barred-spiral	SB(s)c	SB(s)bc	B	G	4.3 ± 0.9	4.3	SBbc	B		
D00300	C 45	galaxy--spiral	SAB(rs)bc	SAB(rs)b	I	G	4.0 ± 0.3	4	SABb	B		
D00304	C 48	galaxy--spiral	SA(r)ab	SA(r)b	S	G	1.6 ± 0.6	1.6	Sab		R	
D00075	C 5	galaxy--spiral	SAB(rs)cd	SABc	I	G	6.0 ± 0.3	6	SABc	B		
D00306	C 51	irregular-galaxy	IB(s)m	IB(s)m	X	G	9.9 ± 0.3	9.9	I	B		
D00307	C 52	galaxy--elliptical	E6	E3	E	G	-4.5 ± 0.8	-4.5	E			
D00162	C 53	galaxy--spiral	S0	E-S0	L	G	-2.9 ± 0.6	-2.9	E-S0			
D00234	C 57	irregular-galaxy	IB(s)m	IB(s)m	X	G	9.8 ± 0.4	9.8	IB	B		
D00311	C 60	barred-spiral	SB(s)m pec	SB(s)m pec	B	G	8.9 ± 0.5	8.9	SBm	B		
D00312	C 61	barred-spiral	SB(s)m pec	SB(s)m pec	B	G	8.9 ± 0.2	8.9	SBm	B		
D00313	C 62	galaxy--spiral	SAB(s)d	SABc	I	G	6.9 ± 0.5	6.9	SABc	B		
D00058	C 65	galaxy--spiral	SAB(s)c	SAB(s)c	I	G	5.1 ± 0.4	5.1	SABc	B		
D00315	C 67	barred-spiral	SBb	SBb	B	G	3.3 ± 0.5	3.3	SBb	B	R	
D00285	C 7	galaxy--spiral	SAB(s)cd	SAB(s)c	I	G	6.0 ± 0.3	6	SABc	B		
D00060	C 70	galaxy--spiral	SA(s)d	SA(s)cd	S	G	6.9 ± 0.4	6.9	Scd			
D00319	C 72	barred-spiral	SB(s)m	SB(s)m	B	G	8.8 ± 0.8	8.8	SBm	B		
D01339	C 77	galaxy--lenticular	S0 pec	S0	L	G	-2.1 ± 0.6	-2.1	S0			
D01323	C 83	barred-spiral	SB(s)cd	SB(s)c	B	G	6.1 ± 0.6	6.1	SBc	B		
D02834	Dwingeloo 1 CAS	dwarf-galaxy	SB(s)cd	SB(s)cd	B	G	4.0 ± 1.8	4	SBbc	B		
F00111	HGC 42c HYA	galaxy--elliptical			C	GALAXY GROUP						
D00170	IC 10	irregular-galaxy	Im	IBm	X	G	9.9 ± 0.6	9.9	IB	B		
F01613	IC 1025	galaxy--unclassified		SBc	B	G	4.6 ± 2.6	4.6	SBc	B		
D02552	IC 1029	galaxy--spiral	SABb	SABb	I	G	3.0 ± 0.4	3	SABb	B		
F00364	IC 1039	galaxy--lenticular	S0	S0	L	G	-1.6 ± 1.0	-1.6	S0	B		
F00365	IC 1041	barred-spiral	SBa	SBa	B	G	1.3 ± 2.0	1.3	SBa	B		
F00366	IC 1042	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.6	-2	S0	B		
F00367	IC 1043	galaxy--spiral	SAa	SAa	S	G	1.0 ± 2.0	1	Sa			PGC 2800989
F00372	IC 1066	galaxy--spiral	SABb	SABb	I	G	3.2 ± 1.7	3.2	SABb	B		
F00371	IC 1067	barred-spiral	SB(s)b	SB(s)b	S	G	3.0 ± 0.3	3	Sb	B	R	
F00370	IC 1070	galaxy--spiral	SAbc	SAbc	S	G	4.0 ± 1.4	4	Sbc			
F00373	IC 1077	galaxy--spiral	Sc	SBbc	B	G	4.2 ± 0.6	4.2	SBbc	B		
F00374	IC 1081	galaxy--spiral	Sa	S0-a	L	G	0.2 ± 0.7	0.2	S0-a	B		
F00375	IC 1084	galaxy--unclassified		E-S0	L	G	-2.7 ± 2.1	-2.7	E-S0			
F00381	IC 1091	galaxy--spiral	SAb	SAb	S	G	3.1 ± 0.5	3.1	Sb	B		
F00392	IC 1131	galaxy--elliptical		E3	E	G	-4.8 ± 0.8	-4.8	E			
F00393	IC 1133	galaxy--spiral	Sc	SBc	B	G	5.9 ± 0.4	5.9	SBc	B		
F01675	IC 1170	galaxy--elliptical	E/S0	E-S0	L	G	-2.5 ± 1.1	-2.5	E-S0			
F01686	IC 1173	galaxy--unclassified		SABc	I	G	4.8 ± 1.3	4.8	SABc	B		
F01684	IC 1178	galaxy--unclassified		E-S0	L	G	-3.0 ± 0.5	-3	E-S0			
F01679	IC 1179	galaxy--unclassified		SAc	S	G	5.8 ± 0.7	5.8	Sc	B	R	
F01685	IC 1181	galaxy--unclassified		S0-a	L	G	-0.2 ± 0.6	-0.2	S0-a	B		
F01688	IC 1182	galaxy--unclassified		S0-a	L	G	-1.2 ± 1.0	-1.2	S0-a			
F01689	IC 1183	galaxy--unclassified		E5	E	G	-3.6 ± 1.0	-3.6	E	B		
F01690	IC 1185	galaxy--unclassified		SAab	S	G	1.6 ± 1.0	1.6	Sab			
F01687	IC 1186	galaxy--unclassified		SAb	S	G	2.8 ± 0.8	2.8	Sb	B	R	
F01691	IC 1192	galaxy--unclassified		SBb	B	G	2.7 ± 1.0	2.7	SBb	B		
F01692	IC 1193	galaxy--unclassified		S0-a	L	G	-0.9 ± 0.5	-0.9	S0-a	B		
F01693	IC 1194	galaxy--unclassified		S0	L	G	-1.6 ± 1.1	-1.6	S0			
F00742	IC 1251	galaxy--spiral	Sc	SAc	S	G	6.0 ± 0.4	6	Sc			
F00402	IC 1252	galaxy--spiral	Sab	SAab	S	G	2.0 ± 0.3	2	Sab			
F00743	IC 1254	galaxy--unclassified	Sb	SAb	S	G	3.4 ± 1.5	3.4	Sb	B		
F00404	IC 1261	galaxy--elliptical		E5	E	G	-3.6 ± 1.5	-3.6	E			
D00800	IC 127	galaxy--spiral	SAb	SAb	S	G	3.2 ± 0.8	3.2	Sb			
F01384	IC 1296	barred-spiral	SBb	SBbc	B	G	3.6 ± 0.6	3.6	SBbc	B		
F00444	IC 1417	galaxy--spiral	Sab	SAb	S	G	3.1 ± 0.7	3.1	Sb			
D02553	IC 1438	galaxy--spiral	Sa:r	SAa:r	S	G	1.2 ± 0.7	1.2	Sa	B	R	
F00491	IC 1439	galaxy--spiral	Sa:r	SBa	B	G	1.0 ± 1.0	1	SBa	B	R	
D01529	IC 1459	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.4	-4.8	E			
F00834	IC 1488	galaxy--unclassified		SAb	S	G	3.1 ± 0.5	3.1	Sb			
D02554	IC 1558	galaxy--spiral	SABm	SABm	I	G	9.0 ± 0.5	9	SABm	B		
F01039	IC 1584	galaxy--unclassified		SABb	I	G	4.0 ± 2.0	4	SABb	B		
D02555	IC 1616	galaxy--spiral	Sbc	SAbc	S	G	3.9 ± 0.4	3.9	Sbc	B	R	
F01442	IC 1618	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
F01455	IC 1619	galaxy--unclassified		S0	L	G	-2.0 ± 2.0	-2	S0			
F00496	IC 1627	galaxy--spiral	Sc	SBbc	B	G	3.6 ± 1.0	3.6	SBbc	B		
D02556	IC 1633	galaxy--lenticular	S0	E3	E	G	-3.9 ± 0.6	-3.9	E			
F00859	IC 1636	galaxy--lenticular	S0	S0	L	G	-2.1 ± 0.5	-2.1	S0			
F00860	IC 1638	galaxy--elliptical	E3	E3	E	G	-4.7 ± 1.5	-4.7	E			
F01081	IC 1643	barred-spiral	SBa	SBa	B	G	1.0 ± 2.0	1	SBa	B	R	
F01459	IC 1679	galaxy--spiral	S0a	S0-a	L	G	0.0 ± 2.0	0	S0-a			
F01460	IC 1680	galaxy--spiral	S0a	S0-a	L	G	-0.3 ± 0.6	-0.3	S0-a			
F01462	IC 1682	galaxy--spiral	Sab	SAab	S	G	1.5 ± 2.1	1.5	Sab			
F01468	IC 1687	galaxy--lenticular	S0-a	S0-a	L	G	-1.0 ± 2.0	-1	S0-a			
F01471	IC 1689	galaxy--lenticular	S0	S0	L	G	-2.0 ± 3.3	-2	S0			
F01472	IC 1690	galaxy--lenticular	S0	S0	L	G	-2.0 ± 1.4	-2	S0			
F01473	IC 1692	galaxy--lenticular	S0	S0	L	G	-2.0 ± 2.0	-2	S0			
F01084	IC 1694	galaxy--unclassified		E3	E	G	-5.0 ± 2.0	-5	E			
F01087	IC 1696	galaxy--elliptical		E3	E	G	-3.9 ± 0.9	-3.9	E	B		
F00904	IC 1727	barred-spiral	SBm	SBm	B	G	8.9 ± 0.6	8.9	SBm	B		
F01059	IC 1730	galaxy--unclassified		S?	S	G	1.0 ± 5.0	1	S?			
F01650	IC 1731	galaxy--spiral	Sc	SABc	I	G	5.2 ± 0.5	5.2	SABc	B		
F01067	IC 1801	barred-spiral	SBb	SAb	S	G	3.1 ± 0.4	3.1	Sb	B		
D02557	IC 1826	barred-spiral	SB0	S0-a	L	G	-0.3 ± 1.9	-0.3	S0-a	B		
F01094	IC 184	galaxy--spiral	Sb	SBa	B	G	1.1 ± 1.1	1.1	SBa	B	R	
F01057	IC 187	barred-spiral	SBc	SAa	S	G	1.0 ± 0.4	1	Sa	B		
D02558	IC 1870	barred-spiral	SBm	SAm	S	G	8.9 ± 0.7	8.9	Sm	B		
F00497	IC 1920	galaxy--unclassified		SAab	S	G	2.1 ± 1.6	2.1	Sab			
F01337	IC 1928	galaxy--spiral	Sa:	SAab	S	G	2.0 ± 0.5	2	Sab			
D02559	IC 1933	galaxy--spiral	Sb	SAc	S	G	6.1 ± 0.8	6.1	Sc	B		
F00498	IC 1938	galaxy--spiral	Sc	SAb	S	G	3.2 ± 1.6	3.2	Sb			
F00499	IC 1942	galaxy--elliptical		E3	E	G	-4.4 ± 1.2	-4.4	E			
D02560	IC 1953	galaxy--spiral	Sc	SAc	S	G	6.2 ± 0.9	6.2	Sc	B	R	
D02561	IC 1954	galaxy--spiral	Sc	SAb	S	G	3.3 ± 0.9	3.3	Sb	B		
D02563	IC 1970	galaxy--spiral	Sab	SAb	S	G	3.0 ± 0.5	3	Sb			
D02564	IC 1993	galaxy--spiral	Sbc	SABb	I	G	3.0 ± 0.6	3	SABb	B	R	
D02565	IC 2000	barred-spiral	SBc	SBc	B	G	6.3 ± 0.8	6.3	SBc	B		
D02566	IC 2006	galaxy--elliptical	E1	E1	E	G	-4.2 ± 0.9	-4.2	E		R	
D02567	IC 2035	galaxy--lenticular	SB0p	E-S0 pec	L	G	-2.6 ± 1.2	-2.6	E-S0	B		
F01158	IC 2038	galaxy--spiral	Sd	SAcd	S	G	7.0 ± 0.5	7	Scd			
F01159	IC 2039	galaxy--spiral		E-S0	L	G	-3.1 ± 0.7	-3.1	E-S0			
F00750	IC 2041	galaxy--lenticular	S0	S0	L	G	-2.1 ± 0.8	-2.1	S0	B		
D02568	IC 2051	galaxy--spiral	Sc:r	SBbc:r	B	G	4.2 ± 1.0	4.2	SBbc	B	R	
D02569	IC 2056	galaxy--spiral	Sc:	SAbc	S	G	3.9 ± 1.7	3.9	Sbc	B	R	
F01161	IC 2058	galaxy--spiral	Sc	SAcd	S	G	6.5 ± 0.9	6.5	Scd			
F01163	IC 2079	barred-spiral	SB:b	SAab	S	G	2.1 ± 0.5	2.1	Sab	B		
F00500	IC 2081	galaxy--lenticular	S0	E-S0	L	G	-3.0 ± 0.6	-3	E-S0	B		
D02570	IC 2082	galaxy--lenticular	E/S0	E-S0	L	G	-2.9 ± 1.1	-2.9	E-S0			
F00501	IC 2083	barred-spiral	SBb	S0-a	L	G	0.4 ± 1.1	0.4	S0-a	B		
F01164	IC 2085	galaxy--unclassified		S0-a	L	G	-1.0 ± 2.3	-1	S0-a	B		
F00502	IC 2086	galaxy--elliptical		E3	E	G	-4.1 ± 1.1	-4.1	E			
F01343	IC 2093	galaxy--unclassified		SAab	S	G	2.0 ± 2.0	2	Sab			
F00802	IC 2132	galaxy--unclassified		SABa	I	G	0.9 ± 0.7	0.9	SABa	B		
F00072	IC 2138	galaxy--spiral	Sa:	SABa	I	G	1.6 ± 1.7	1.6	SABa	B	R	
F00484	IC 2151	galaxy--spiral	Sb	SAbc	S	G	3.9 ± 0.5	3.9	Sbc	B		
D02572	IC 2158	galaxy--spiral	Sa	SBab	B	G	2.0 ± 0.5	2	SBab	B	R	
F00503	IC 2163	galaxy--spiral	Sc:	SAc	S	G	5.2 ± 0.8	5.2	Sc	B		
F01385	IC 2164	galaxy--spiral	Sb	SAab	S	G	2.2 ± 0.8	2.2	Sab			
D00630	IC 2166	galaxy--spiral	Scd	SABc	I	G	4.7 ± 0.9	4.7	SABc	B	R	
F00584	IC 2174	galaxy--spiral	Sa	SBa	B	G	1.0 ± 0.4	1	SBa	B	R	
F00082	IC 2179	galaxy--elliptical	E	E3	E	G	-4.8 ± 0.6	-4.8	E			
F01096	IC 219	galaxy--unclassified		E3	E	G	-5.0 ± 0.5	-5	E			
F00083	IC 2209	galaxy--spiral		SBb	B	G	3.0 ± 0.5	3	SBb	B		
F00505	IC 2233	galaxy--spiral	Sd	SBc	B	G	6.5 ± 0.8	6.5	SBc	B		
F01097	IC 230	galaxy--unclassified		S0-a	L	G	-1.0 ± 2.0	-1	S0-a			
F00506	IC 2311	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.7	-4.8	E			
D02574	IC 2367	galaxy--spiral	Sc	SAb	S	G	3.1 ± 0.7	3.1	Sb	B	R	
F00628	IC 2388	galaxy--unclassified		S0-a	L	G	-1.0 ± 2.0	-1	S0-a		R	
D02540	IC 239	galaxy--spiral	Sc	SABc	I	G	6.0 ± 0.3	6	SABc	B		
F00630	IC 2399	galaxy--unclassified		SBc	B	G	5.1 ± 2.6	5.1	SBc	B	R	
F00632	IC 2411	galaxy--unclassified		SAab	S	G	2.3 ± 3.8	2.3	Sab			
F00633	IC 2414	galaxy--unclassified		E3	E	G	-5.0 ± 2.6	-5	E			
F00609	IC 242	galaxy--unclassified		SAa	S	G	0.6 ± 1.6	0.6	Sa	B		
F01348	IC 2426	galaxy--unclassified		S0	L	G	-2.0 ± 2.0	-2	S0			
F01108	IC 2444	galaxy--lenticular	S0	S0-a	L	G	0.0 ± 1.1	0	S0-a	B	R	
F00097	IC 2454	galaxy--spiral	Sa:	SAa	S	G	1.1 ± 0.5	1.1	Sa		R	
F01114	IC 2457	barred-spiral	SBbc:	S?	S	G	0.5 ± 4.2	0.5	S?	B	R	
D02575	IC 2469	galaxy--spiral	Sc	SBab	B	G	2.3 ± 1.4	2.3	SBab	B		
F01375	IC 2508	galaxy--spiral	Sa	E3	E	G	-5.0 ± 2.6	-5	E			
F00559	IC 2512	galaxy--spiral	Sc	SABa	I	G	1.9 ± 1.8	1.9	SABa	B		
F00558	IC 2513	galaxy--spiral	Sbc	SAab	S	G	2.1 ± 0.6	2.1	Sab			
D02576	IC 2522	galaxy--spiral	Sc	SAc	S	G	5.1 ± 0.4	5.1	Sc	B		
F00507	IC 2523	galaxy--spiral	Sbc	SBbc	B	G	4.0 ± 0.8	4	SBbc	B		
F00560	IC 2532	galaxy--spiral	Sa:r	Sa:r	S	G	1.1 ± 0.5	1.1	Sa	B	R	
D02577	IC 2533	galaxy--elliptical	E/S0	E-S0	L	G	-3.1 ± 0.5	-3.1	E-S0			
D02578	IC 2537	galaxy--spiral	Sc	SAc	S	G	5.0 ± 0.4	5	Sc	B		
D00664	IC 2574	dwarf-galaxy	SABm	SABm	I	G	8.9 ± 0.3	8.9	SABm	B		
D02579	IC 2584	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
D02580	IC 2587	galaxy--lenticular	S0	E-S0	L	G	-2.7 ± 0.6	-2.7	E-S0	B		
F00129	IC 2597	galaxy--lenticular	S0	E4	E	G	-3.9 ± 0.7	-3.9	E			
F00807	IC 2604	seyfert-galaxy		SBm	B	G	9.0 ± 0.9	9	SBm	B		
F00806	IC 2608	galaxy--unclassified		SBc	B	G	5.0 ± 2.0	5	SBc	B		
D02581	IC 2627	galaxy--spiral	Sc	SABc	I	G	4.6 ± 0.7	4.6	SABc	B		
F01353	IC 2694	galaxy--unclassified		SBbc	B	G	4.2 ± 3.0	4.2	SBbc	B		
F00794	IC 2745	galaxy--unclassified		SBb	B	G	2.5 ± 2.1	2.5	SBb	B		
F01359	IC 2853	galaxy--unclassified		SAab	S	G	2.0 ± 0.3	2	Sab	B		
F01361	IC 2867	galaxy--unclassified		SAc	S	G	4.5 ± 2.1	4.5	Sc			
F01362	IC 2887	galaxy--unclassified		SAc	S	G	5.0 ± 2.0	5	Sc			
F00155	IC 2913	galaxy--spiral		S0-a	L	G	-0.6 ± 1.5	-0.6	S0-a		R	
F00171	IC 2951	galaxy--spiral	Sa	SAa	S	G	0.9 ± 0.5	0.9	Sa			
F01371	IC 2955	galaxy--elliptical	E/S0	E-S0	L	G	-3.3 ± 2.0	-3.3	E-S0			
F01545	IC 2978	barred-spiral	SBcd	SBcd	B	G	6.7 ± 0.7	6.7	SBcd	B		
F00185	IC 2979	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0	B	R	
F00198	IC 2996	galaxy--spiral	Sb	SAb	S	G	3.4 ± 1.2	3.4	Sb			
F00199	IC 3005	galaxy--spiral	Sb	SBc	B	G	5.5 ± 1.0	5.5	SBc	B		
F00202	IC 3059	galaxy--spiral		Irr	X	G	9.7 ± 0.7	9.7	I	B		
F01130	IC 3061	galaxy--unclassified		SBc	B	G	5.2 ± 0.6	5.2	SBc	B		
F00643	IC 3062	galaxy--spiral	Sc/I	SAc	S	G	5.4 ± 1.8	5.4	Sc		R	
F00644	IC 3066	galaxy--unclassified		SAc	S	G	5.6 ± 1.7	5.6	Sc			
F01131	IC 3091	galaxy--lenticular	S0	S0-a	L	G	-0.1 ± 2.3	-0.1	S0-a			
D02582	IC 3104	irregular-galaxy	dIrr	Im	X	G	9.9 ± 0.5	9.9	IB	B		
F00838	IC 312	galaxy--elliptical	E3	E3	E	G	-4.8 ± 0.8	-4.8	E			
F00949	IC 3136	barred-spiral	SBc	SBc	B	G	5.0 ± 0.4	5	SBc	B		
F00958	IC 3153	barred-spiral	SBbc	SBbc	B	G	4.5 ± 1.7	4.5	SBbc	B	R	
F00950	IC 3155	galaxy--lenticular	S0	S0	L	G	-2.0 ± 0.4	-2	S0			
F00962	IC 3173	galaxy--spiral	SAa	SAa	S	G	0.9 ± 2.5	0.9	Sa			
F01132	IC 3203	galaxy--spiral	Sb	SAb	S	G	3.0 ± 0.4	3	Sb			
F00964	IC 3209	galaxy--spiral	SAc	SAc	S	G	5.4 ± 1.4	5.4	Sc			
F01133	IC 3215	galaxy--unclassified		SAd	S	G	8.0 ± 0.5	8	Sd			
F01569	IC 3224	irregular-galaxy	Irr	Irr	X	G	10.0 ± 1.2	10	I			
F00963	IC 3233	galaxy--unclassified	S?	S?	S	G	2.0 ± 4.2	2	S?			
F00650	IC 3238	galaxy--lenticular	S0	S0	L	G	-2.0 ± 1.7	-2	S0		R	
F00965	IC 3239	galaxy--spiral	SAcd	SAcd	S	G	7.4 ± 2.0	7.4	Scd			
F00651	IC 3244	galaxy--unclassified		SAc	S	G	5.2 ± 2.5	5.2	Sc			
D00910	IC 3253	galaxy--spiral	Sc	SAc	S	G	5.1 ± 0.5	5.1	Sc			
F01567	IC 3258	irregular-galaxy	Im	IBm	X	G	9.6 ± 1.0	9.6	IB	B		
F00967	IC 3259	galaxy--spiral	SABd	SABd	I	G	8.0 ± 1.0	8	SABd	B		
F00970	IC 3267	galaxy--spiral	SAc	SAc	S	G	5.9 ± 0.5	5.9	Sc			
F00508	IC 3290	barred-spiral	SBb	S0-a	L	G	-0.1 ± 1.1	-0.1	S0-a	B		
F00657	IC 3292	dwarf-galaxy	dG/S0	E-S0	L	G	-2.7 ± 1.8	-2.7	E-S0	B		
F00229	IC 3303	galaxy--elliptical	E3	E3	E	G	-4.0 ± 0.9	-4	E			
F00975	IC 3305	galaxy--spiral		E3	E	G	-5.0 ± 1.2	-5	E			
F01568	IC 3311	galaxy--unclassified		SAcd	S	G	7.5 ± 1.1	7.5	Scd			
F00509	IC 3313	dwarf-galaxy	dE	E3	E	G	-4.0 ± 1.8	-4	E			
F00974	IC 3322	galaxy--spiral	SABc	SABc	I	G	6.3 ± 1.1	6.3	SABc	B		
F00973	IC 3322A	galaxy--spiral	SBc	SBc	B	G	6.0 ± 0.4	6	SBc	B		
F00658	IC 3327	barred-spiral	SBa	SBa	B	G	0.6 ± 1.1	0.6	SBa	B		
F01570	IC 3328	dwarf-galaxy	dED	dED	E	G	-3.8 ± 1.7	-3.8	E		R	
F00976	IC 3331	galaxy--unclassified	dGs	E4	E	G	-3.6 ± 1.9	-3.6	E			
D00823	IC 334	irregular-galaxy	I	S?	X	G	2.0 ± 5.0	2	S?			
F00979	IC 3347	galaxy--spiral	SAc	E3	E	G	-5.0 ± 1.2	-5	E			
F00233	IC 3349	galaxy--elliptical	E3	E3	E	G	-5.0 ± 0.9	-5	E			
D02562	IC 335	galaxy--spiral	Sab	S0	L	G	-2.1 ± 1.4	-2.1	S0			
F00977	IC 3355	irregular-galaxy	Im	Im	X	G	9.7 ± 1.0	9.7	I	B		
F01571	IC 3357	galaxy--spiral	Sc	SAbc	S	G	4.0 ± 1.7	4	Sbc			
F01572	IC 3363	dwarf-galaxy	E3	E3	E	G	-5.0 ± 1.0	-5	E			
F00225	IC 3365	galaxy--spiral		Im	X	G	9.8 ± 0.7	9.8	I	B		
F01136	IC 3369	galaxy--elliptical	dED	E-S0	L	G	-3.3 ± 1.9	-3.3	E-S0			
D02583	IC 3370	galaxy--elliptical	E3	E3	E	G	-4.9 ± 0.5	-4.9	E	B		
F00980	IC 3371	galaxy--spiral	SAc	SAc	S	G	6.0 ± 0.6	6	Sc			
F01573	IC 3374	irregular-galaxy	Im	IBm	X	G	9.9 ± 1.4	9.9	IB	B		
F00659	IC 3378	galaxy--unclassified		SAbc	S	G	4.5 ± 2.2	4.5	Sbc			
F00660	IC 3379	galaxy--unclassified		SAbc	S	G	4.5 ± 2.2	4.5	Sbc			
F01575	IC 3381	galaxy--elliptical	E3	E3	E	G	-4.1 ± 0.8	-4.1	E			
F00983	IC 3388	galaxy--elliptical	E3	E3	E	G	-5.0 ± 0.9	-5	E			
D02584	IC 3392	galaxy--spiral	SAab	SAab	S	G	2.4 ± 0.8	2.4	Sab			
F00982	IC 3393	galaxy--lenticular	S0	S0	L	G	-1.7 ± 2.0	-1.7	S0			
F01137	IC 3402	galaxy--spiral	Sbc	SAbc	S	G	4.1 ± 0.4	4.1	Sbc			
F01574	IC 3412	galaxy--spiral	SAm	SAm	S	G	9.4 ± 1.5	9.4	Sm			
F01581	IC 3413	dwarf-galaxy	dED	E3	E	G	-4.5 ± 1.0	-4.5	E		R	
F01582	IC 3418	galaxy--unclassified		IBm	X	G	9.9 ± 0.3	9.9	IB	B		
F00041	IC 343	barred-spiral	SB0	S0-a	L	G	-1.1 ± 0.7	-1.1	S0-a	B		
F01577	IC 3430	galaxy--lenticular	S0-Aa	S0-a	L	G	0.0 ± 2.0	0	S0-a			
F00663	IC 3432	galaxy--spiral	Sc	SAc	S	G	5.1 ± 1.6	5.1	Sc			
F01583	IC 3437	dwarf-galaxy	dE	E3	E	G	-5.0 ± 1.0	-5	E			
F01340	IC 344	galaxy--unclassified		SBbc 	B	G	4.0 ± 0.8	4	SBbc	B		
F01578	IC 3443	galaxy--elliptical	E3	E3	E	G	-5.0 ± 1.2	-5	E			
F01584	IC 3446	irregular-galaxy	I	Im	X	G	9.6 ± 1.3	9.6	I			
F01338	IC 345	galaxy--spiral	S0a	S0	L	G	-1.9 ± 2.6	-1.9	S0			
F01580	IC 3457	galaxy--elliptical	E3	E3	E	G	-4.7 ± 1.7	-4.7	E			
F01579	IC 3459	irregular-galaxy	Im	Im	X	G	9.8 ± 0.5	9.8	I	B		
F01585	IC 3470	dwarf-galaxy	dE(N)	E3	E	G	-4.8 ± 0.9	-4.8	E			
F01138	IC 3471	irregular-galaxy	Irr	Irr	X	G	9.7 ± 1.2	9.7	I			
F00985	IC 3474	galaxy--spiral	SAcd	SAcd	S	G	6.6 ± 0.6	6.6	Scd			
F00665	IC 3478	galaxy--unclassified		E-S0	L	G	-2.5 ± 1.3	-2.5	E-S0	B		
F01587	IC 3481	galaxy--lenticular	E/SB0	E-S0	L	G	-3.3 ± 0.7	-3.3	E-S0	B		
F01588	IC 3483	galaxy--spiral	SABb	SABb	I	G	3.4 ± 1.5	3.4	SABb	B		
F01593	IC 3486	galaxy--elliptical		E5	E	G	-3.6 ± 2.0	-3.6	E			
F01590	IC 3487	galaxy--lenticular	S0	E-S0	L	G	-3.5 ± 2.1	-3.5	E-S0			
F01586	IC 3490	galaxy--spiral	S0a	E3	E	G	-5.0 ± 1.2	-5	E			
F01594	IC 3492	dwarf-galaxy	dE	E5	E	G	-3.8 ± 1.6	-3.8	E			
F01595	IC 3501	dwarf-galaxy	dE	E4	E	G	-4.4 ± 1.5	-4.4	E			
F01140	IC 3508	galaxy--lenticular	S0	S0-a	L	G	-1.3 ± 1.4	-1.3	S0-a	B	R	
F01596	IC 3509	galaxy--elliptical	E3	E3	E	G	-5.0 ± 1.0	-5	E			
F01592	IC 3510	galaxy--elliptical	E3	E3	E	G	-5.0 ± 0.8	-5	E			
F01591	IC 3517	galaxy--spiral	SABd	SABd	I	G	8.5 ± 0.9	8.5	SABd	B		
F01139	IC 3519	dwarf-galaxy	dE	E3	E	G	-5.0 ± 1.2	-5	E			
D02585	IC 3521	irregular-galaxy	Im	IBm	X	G	9.8 ± 0.4	9.8	IB	B		
F00669	IC 3533	galaxy--spiral	Sb	S?	S	G	1.1 ± 4.1	1.1	S?		R	
